Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
trainable params: 80,740,352 || all params: 7,696,356,864 || trainable%: 1.0491
{'loss': '0.2463', 'grad_norm': '0.2564', 'learning_rate': '1.752e-05', 'epoch': '0.825'}
{'loss': '0.2484', 'grad_norm': '0.2619', 'learning_rate': '1.702e-05', 'epoch': '0.83'}
{'loss': '0.249', 'grad_norm': '0.2417', 'learning_rate': '1.652e-05', 'epoch': '0.835'}
{'loss': '0.2473', 'grad_norm': '0.2504', 'learning_rate': '1.602e-05', 'epoch': '0.84'}
{'loss': '0.2506', 'grad_norm': '0.2187', 'learning_rate': '1.552e-05', 'epoch': '0.845'}
{'loss': '0.2485', 'grad_norm': '0.2323', 'learning_rate': '1.502e-05', 'epoch': '0.85'}
{'loss': '0.2496', 'grad_norm': '0.2632', 'learning_rate': '1.452e-05', 'epoch': '0.855'}
{'loss': '0.2475', 'grad_norm': '0.2273', 'learning_rate': '1.402e-05', 'epoch': '0.86'}
{'loss': '0.2476', 'grad_norm': '0.2345', 'learning_rate': '1.352e-05', 'epoch': '0.865'}
{'loss': '0.2496', 'grad_norm': '0.2561', 'learning_rate': '1.302e-05', 'epoch': '0.87'}
{'loss': '0.2485', 'grad_norm': '0.2455', 'learning_rate': '1.252e-05', 'epoch': '0.875'}
{'loss': '0.2477', 'grad_norm': '0.2346', 'learning_rate': '1.202e-05', 'epoch': '0.88'}
{'loss': '0.2497', 'grad_norm': '0.2465', 'learning_rate': '1.152e-05', 'epoch': '0.885'}
{'loss': '0.2444', 'grad_norm': '0.2566', 'learning_rate': '1.102e-05', 'epoch': '0.89'}
{'loss': '0.2471', 'grad_norm': '0.2301', 'learning_rate': '1.052e-05', 'epoch': '0.895'}
{'loss': '0.2468', 'grad_norm': '0.2519', 'learning_rate': '1.002e-05', 'epoch': '0.9'}

{'loss': '0.2454', 'grad_norm': '0.2454', 'learning_rate': '9.52e-06', 'epoch': '0.905'}
{'loss': '0.2473', 'grad_norm': '0.2802', 'learning_rate': '9.02e-06', 'epoch': '0.91'}
{'loss': '0.2477', 'grad_norm': '0.244', 'learning_rate': '8.52e-06', 'epoch': '0.915'}
{'loss': '0.2474', 'grad_norm': '0.2226', 'learning_rate': '8.02e-06', 'epoch': '0.92'}
{'loss': '0.2455', 'grad_norm': '0.2469', 'learning_rate': '7.52e-06', 'epoch': '0.925'}
{'loss': '0.2466', 'grad_norm': '0.2359', 'learning_rate': '7.02e-06', 'epoch': '0.93'}
{'loss': '0.2489', 'grad_norm': '0.2476', 'learning_rate': '6.52e-06', 'epoch': '0.935'}
{'loss': '0.2494', 'grad_norm': '0.2418', 'learning_rate': '6.02e-06', 'epoch': '0.94'}
{'loss': '0.2507', 'grad_norm': '0.2493', 'learning_rate': '5.52e-06', 'epoch': '0.945'}
{'loss': '0.251', 'grad_norm': '0.2299', 'learning_rate': '5.02e-06', 'epoch': '0.95'}
{'loss': '0.2457', 'grad_norm': '0.2351', 'learning_rate': '4.52e-06', 'epoch': '0.955'}
{'loss': '0.2481', 'grad_norm': '0.2369', 'learning_rate': '4.02e-06', 'epoch': '0.96'}
{'loss': '0.2486', 'grad_norm': '0.2386', 'learning_rate': '3.52e-06', 'epoch': '0.965'}
{'loss': '0.2483', 'grad_norm': '0.2397', 'learning_rate': '3.02e-06', 'epoch': '0.97'}
{'loss': '0.2481', 'grad_norm': '0.2391', 'learning_rate': '2.52e-06', 'epoch': '0.975'}
{'loss': '0.2463', 'grad_norm': '0.2518', 'learning_rate': '2.02e-06', 'epoch': '0.98'}
{'loss': '0.2479', 'grad_norm': '0.2514', 'learning_rate': '1.52e-06', 'epoch': '0.985'}
{'loss': '0.2475', 'grad_norm': '0.2477', 'learning_rate': '1.02e-06', 'epoch': '0.99'}
{'loss': '0.2497', 'grad_norm': '0.2466', 'learning_rate': '5.2e-07', 'epoch': '0.995'}
{'loss': '0.2447', 'grad_norm': '0.2503', 'learning_rate': '2e-08', 'epoch': '1'}

{'eval_loss': '0.2448', 'eval_runtime': '33.56', 'eval_samples_per_second': '59.6', 'eval_steps_per_second': '7.45', 'epoch': '1'}
{'train_runtime': '4994', 'train_samples_per_second': '16.02', 'train_steps_per_second': '1.001', 'train_loss': '0.2643', 'epoch': '1'}

⭐ adapter → runs/act2/adapter
⛔ NOT a result. Next: tools/act2_flocal.py measures F-LOCAL unconstrained and cardless. That is the gate.
